# y m d
1000	1	15
1001	1	4
1002	1	23
1003	1	12
1004	1	31
1005	1	20
1006	1	9
1007	1	28
1008	1	18
1009	1	6
1010	1	25
1011	1	14
1012	1	3
1013	1	21
1014	1	11
1015	1	30
1016	1	19
1017	1	8
1018	1	26
1019	1	15
1020	1	4
1021	1	22
1022	1	12
1023	1	31
1024	1	21
1025	1	9
1026	1	28
1027	1	17
1028	1	6
1029	1	24
1030	1	13
1031	1	3
1032	1	22
1033	1	11
1034	1	30
1035	1	19
1036	1	8
1037	1	26
1038	1	15
1039	1	4
1040	1	23
1041	1	12
1042	1	31
1043	1	21
1044	1	10
1045	1	27
1046	1	16
1047	1	6
1048	1	25
1049	1	13
1050	2	1
1051	1	22
1052	1	11
1053	1	29
1054	1	18
1055	1	7
1056	1	26
1057	1	15
1058	1	4
1059	1	23
1060	1	13
1061	1	31
1062	1	20
1063	1	9
1064	1	28
1065	1	16
1066	1	5
1067	1	25
1068	1	14
1069	2	1
1070	1	22
1071	1	11
1072	1	30
1073	1	18
1074	1	7
1075	1	26
1076	1	16
1077	1	4
1078	1	23
1079	1	13
1080	1	31
1081	1	19
1082	1	8
1083	1	27
1084	1	17
1085	1	5
1086	1	25
1087	1	14
1088	2	2
1089	1	21
1090	1	10
1091	1	29
1092	1	18
1093	1	7
1094	1	26
1095	1	16
1096	1	5
1097	1	23
1098	1	12
1099	1	31
1100	1	20
1101	1	9
1102	1	28
1103	1	18
1104	1	7
1105	1	25
1106	1	15
1107	2	2
1108	1	22
1109	1	11
1110	1	30
1111	1	19
1112	1	9
1113	1	27
1114	1	16
1115	2	4
1116	1	24
1117	1	12
1118	1	31
1119	1	20
1120	1	10
1121	1	28
1122	1	18
1123	1	7
1124	1	26
1125	1	14
1126	2	2
1127	1	22
1128	1	11
1129	1	30
1130	1	19
1131	1	9
1132	1	28
1133	1	16
1134	2	4
1135	1	24
1136	1	13
1137	1	31
1138	1	20
1139	1	10
1140	1	29
1141	1	17
1142	1	7
1143	1	25
1144	1	14
1145	2	1
1146	1	22
1147	1	11
1148	1	31
1149	1	19
1150	1	8
1151	1	27
1152	1	16
1153	2	3
1154	1	23
1155	1	13
1156	2	1
1157	1	21
1158	1	10
1159	1	29
1160	1	18
1161	1	6
1162	1	25
1163	1	14
1164	2	2
1165	1	22
1166	1	11
1167	1	30
1168	1	20
1169	1	8
1170	1	26
1171	1	16
1172	2	4
1173	1	23
1174	1	13
1175	2	1
1176	1	21
1177	1	9
1178	1	28
1179	1	17
1180	2	5
1181	1	24
1182	1	14
1183	2	2
1184	1	23
1185	1	11
1186	1	30
1187	1	19
1188	1	8
1189	1	26
1190	1	15
1191	2	3
1192	1	24
1193	1	13
1194	2	1
1195	1	21
1196	1	10
1197	1	28
1198	1	17
1199	2	5
1200	1	25
1201	1	14
1202	2	2
1203	1	22
1204	1	12
1205	1	29
1206	1	18
1207	1	8
1208	1	27
1209	1	15
1210	2	4
1211	1	24
1212	1	13
1213	1	31
1214	1	20
1215	1	9
1216	1	28
1217	1	17
1218	2	5
1219	1	25
1220	1	15
1221	2	2
1222	1	22
1223	1	11
1224	1	30
1225	1	18
1226	1	8
1227	1	27
1228	1	16
1229	2	3
1230	1	24
1231	1	13
1232	1	31
1233	1	20
1234	1	9
1235	1	28
1236	1	18
1237	2	5
1238	1	25
1239	1	14
1240	2	2
1241	1	21
1242	1	10
1243	1	29
1244	1	19
1245	2	6
1246	1	27
1247	1	16
1248	2	4
1249	1	23
1250	1	12
1251	1	31
1252	1	20
1253	1	9
1254	1	28
1255	1	18
1256	2	6
1257	1	25
1258	1	14
1259	2	2
1260	1	22
1261	1	10
1262	1	29
1263	1	19
1264	2	7
1265	1	26
1266	1	15
1267	2	3
1268	1	23
1269	1	12
1270	1	31
1271	1	20
1272	1	10
1273	1	28
1274	1	17
1275	2	5
1276	1	25
1277	1	13
1278	2	1
1279	1	22
1280	1	11
1281	1	29
1282	1	19
1283	2	7
1284	1	27
1285	1	15
1286	2	3
1287	1	23
1288	1	13
1289	1	31
1290	1	20
1291	1	10
1292	1	29
1293	1	17
1294	2	4
1295	1	25
1296	1	14
1297	2	1
1298	1	22
1299	1	11
1300	1	30
1301	1	19
1302	2	7
1303	1	27
1304	1	16
1305	2	3
1306	1	24
1307	1	14
1308	2	2
1309	1	21
1310	2	9
1311	1	29
1312	1	18
1313	2	5
1314	1	25
1315	1	15
1316	2	3
1317	1	23
1318	1	12
1319	1	31
1320	1	20
1321	2	7
1322	1	27
